season,episode,scene,sentiment
2,11,17,0.06401991496621623
2,11,18,0.6689286533753975
2,11,19,1.1639307680495063
2,11,20,0.0
2,11,21,0.4838196373983334
2,11,22,0.7584195190414303
2,11,23,0.28463794676189114
2,11,24,-1.4390792063044457
2,11,25,-1.1340096266031576
2,11,26,0.8873744577890009
2,11,27,-0.1990855797271567
2,11,28,0.4084669879676127
2,11,29,0.13410615154352754
2,11,30,0.6353756752618654
2,11,31,0.11659194499358487
2,11,32,0.5597007839556067
2,11,35,-0.31389107775737235
2,11,36,0.1727720063286845
2,11,37,0.8695887694303973
2,11,38,-0.8311422433863097
2,11,39,1.9638370484270444
2,11,40,0.9070464216016487
2,11,41,0.6990943457885729
2,11,42,-3.324976103118638
2,11,43,0.03214538662314986
2,11,44,-0.015358224973316736
2,11,46,0.42341777453256474
2,11,47,0.07940885407131822
2,11,48,-0.023940967719487338
2,11,50,-0.8364662598039887
2,11,51,1.8027623059572744
2,11,52,1.3215212371046263
2,12,1,0.11170080055191436
2,12,2,-0.31980552722647304
2,12,3,0.015517458242951867
2,12,4,-0.4094459219529002
2,12,5,0.2266750211291062
2,12,7,0.021426540418143663
2,12,10,2.061328201543129
2,12,11,0.512188094367938
2,12,13,0.6550038640860519
2,12,14,-0.18285129354498814
2,12,15,0.4860679304742938
2,12,16,-0.39088860177305446
2,12,17,-0.17502806534789828
2,12,18,0.17477650606412112
2,12,20,-3.778801088264125
2,12,22,-0.6684505331773838
2,12,23,0.6739969750026491
2,12,24,0.5697652937609665
2,12,25,0.3713545832897828
2,12,27,0.8140709080713279
2,12,29,-0.13804956663445972
2,12,30,-0.07996860463938464
2,12,31,1.0737180898433913
2,12,32,-2.6014448762790137
2,12,33,-1.2601041523170315
2,12,34,0.41922255944165265
2,12,35,0.5633831723064734
2,12,36,-0.03961726127202975
2,12,37,0.2919453603031425
2,12,38,-0.33988700501058294
2,12,39,-0.3321380657772863
2,12,40,0.04050377576657026
2,12,41,-0.05278594409783189
2,12,42,-1.0219632793147269
2,12,44,-0.2751799455410545
2,12,45,-0.016538085227312906
2,12,46,-0.01785714285714285
2,12,47,1.1662283925387844
2,13,1,0.047185761685138085
2,13,3,-1.2372902523119509
2,13,5,-0.22633322592545305
2,13,6,-0.1550104920580276
2,13,7,-1.727447560760864
2,13,8,-2.328974070033742
2,13,9,-1.2380585492769651
2,13,10,0.2989328590018037
2,13,11,-0.2815936876413235
2,13,13,0.22076528547868476
2,13,15,0.8834263720899124
2,13,16,0.09689299883871794
2,13,17,0.058479844749930725
2,13,18,-0.35023052883662675
2,13,19,1.3929463177947292
2,13,22,0.5850220514460276
2,13,23,-0.6826430975650636
2,13,24,1.3728284593106819
2,13,25,1.1311029175534084
2,13,26,-0.4436141085778556
2,13,27,0.34864145267980134
2,13,28,0.9847198075775414
2,13,29,-0.2548653280576851
2,13,30,0.07681127707259722
2,13,32,-0.3806274583022662
2,13,33,0.11383574606776908
2,13,37,2.2294368240425824
2,13,38,-0.02590074805863547
2,13,39,-0.25204960741649907
2,13,40,0.9341789032718893
2,13,41,1.0808646596333629
2,13,42,0.6116632226567701
2,13,44,-0.11522114927657477
2,13,45,-1.0963594536204089
2,13,46,0.18877520281920884
2,13,47,-0.05569927918248709
2,13,48,0.0
2,13,50,-0.05056379521033989
2,13,51,0.17541217964255318
2,13,52,0.08343600530499577
2,14,2,0.22094063290722757
2,14,4,0.22184361444725023
2,14,5,1.7782520116373894
2,14,6,0.25776407172509885
2,14,7,-0.3174787022232866
2,14,9,-0.5397776467209157
2,14,10,-3.3543767365850004
2,14,11,-0.14724324441047212
2,14,12,0.7021193177548902
2,14,13,-1.1362921046708756
2,14,14,0.45399282192958024
2,14,15,-1.8979318044416356
2,14,16,-1.9758333129955787
2,14,17,1.05313495119376
2,14,18,-0.02634865474594249
2,14,19,-0.22743031975703332
2,14,21,0.23307934440511313
2,14,22,-0.04747179966031571
2,14,23,-0.3594340763520755
2,14,24,-0.8100439591221429
2,14,25,-0.6684505331773838
2,14,26,0.29447545736330416
2,14,27,-1.428552263109145
2,14,28,1.0820797976034875
2,14,30,-0.038270446517558974
2,14,31,-0.5127753493728484
2,14,32,-0.13846907924113477
2,14,33,0.16946375932058474
2,14,34,-0.28346800931025645
2,14,36,0.23903434793621509
2,14,37,0.7152917327261501
2,14,38,-0.46685035597065133
2,14,39,0.7364218441895962
2,14,40,0.29447545736330416
2,14,41,-0.6331142714781012
2,14,42,2.0340090827343027
2,14,43,-0.10644132438621862
2,14,44,-0.33927145006269044
2,14,45,0.34255545399743337
2,14,46,0.10744840137791163
2,14,47,0.08879481741360777
2,14,48,1.6465037531436033
2,14,49,0.13820293372386488
2,14,50,-0.2788080075712154
2,14,51,0.30675883426164324
2,14,52,0.6713251321792274
2,14,54,0.2589528218045539
2,14,55,-0.39001470096401836
2,14,56,0.0
2,14,57,0.0955778825666808
2,14,59,-0.5228565432052185
2,14,60,0.18021423055537494
2,14,61,0.8622435979796326
2,14,63,0.3214103039123667
2,14,64,0.22611185403368098
2,14,65,0.305609248460714
2,14,66,-0.2959230026315158
2,14,68,0.7695117962456139
2,15,1,0.35774932417330024
2,15,3,0.18444831899412817
2,15,5,0.4661716039862454
2,15,6,-0.4782925907521588
2,15,7,-0.9885342581415258
2,15,9,0.44678260036129636
2,15,10,-0.02784454915503467
2,15,11,0.267033164340146
2,15,12,-1.1046327662843944
2,15,14,-0.6933179609618726
2,15,15,0.005021442352256142
2,15,16,0.5453141285489158
2,15,18,1.91744577800206
2,15,19,-0.4280224052148118
2,15,21,0.1328333844401144
