season,episode,scene,line,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1,1,19,93,-0.0546029462818389,-0.03729876630158023,-0.03588872529930698,-0.0408365024691002,-0.023947227869078876,-0.04779450220074878,0.02396757946332605,0.014936756889214827,-0.057676305346624546,-0.05129751917164185
1,1,19,94,-0.058988053487372766,-0.04130011701774828,-0.038632588140021434,-0.04315038758739806,-0.027465903191315626,-0.04933439838843981,0.022923518693221154,0.015666910033299727,-0.060407242486267984,-0.055597948563299616
1,1,19,95,-0.049901856564690546,-0.033387570225982724,-0.03102622331525734,-0.032450279799245106,-0.018433000342729853,-0.03864778640010721,0.01930431078674781,0.011938425282952397,-0.043345807866185485,-0.03940402593904776
1,1,20,96,-0.0642372131871131,-0.0466703916174309,-0.05557324898147687,0.06808830738601253,0.01136179789137704,-0.02969041776235239,0.018657568778448323,0.013116522491490003,-0.05638645345414998,-0.052986975319092425
1,1,21,97,-0.05935865001350955,-0.04115203857935223,-0.03862694237833346,-0.04257171004895977,-0.026602441256733916,-0.051865759745229466,0.022131272834287067,0.016355438852865903,-0.06102144124489516,-0.05779993044965634
1,1,21,98,0.20287367550930843,-0.026954667176649093,-0.030504847745310613,-0.03557784348699028,-0.02453282831889407,-0.045187743883035356,0.02605476550197079,0.0137522398061227,-0.06465623732262028,0.06383801456387997
1,1,21,99,-0.12442108479452899,-0.11071830755442903,-0.13964639441469304,-0.2121398954146798,-0.14064117099479337,-0.27728240402391613,-2.5574066871720182,-0.6229295428508858,1.8765930587070374,0.3409778674510122
1,1,21,100,-0.059442001019551674,-0.041750753992131545,-0.039564482693906985,-0.045298823204754014,-0.028064560324423976,-0.052137428571181296,0.025196507507779103,0.014081737879485136,-0.06346916681081655,-0.05140266769609543
1,1,21,101,-0.06994286867820126,-0.048786159382662356,-0.04859362132052465,-0.050631946959636215,-0.034487553664573026,-0.07254614904369742,0.01596595975628355,0.01855198528981315,-0.08161969262604596,-0.09475619017530901
1,1,21,102,-0.06644284833058764,-0.0479234650870992,-0.04554182996648224,-0.04931022608603212,-0.03176683169793199,-0.06762439133595098,0.03226631807516283,0.02415203467903686,-0.0875260703705085,-0.060639145398792935
1,1,21,103,-0.05747541156375344,-0.041862201624224785,-0.04083225915732117,-0.046406524492849696,-0.02716158888212376,-0.05585781030202764,0.03145875791729652,0.01854616879439871,-0.07260881786309004,-0.02217763440648054
1,1,21,104,-0.06153842427405372,-0.04521178147414057,-0.04455837370375738,-0.05134977789610437,-0.03373858446824536,-0.06435467082360705,0.23408708386636154,-0.21696110875276847,0.13621023244360095,-0.04887517544135624
1,1,22,105,-0.05908480480579971,-0.04106336032370543,-0.0390978273881148,-0.04351179128198984,-0.027388054544092832,-0.05294485832252721,0.024749607414582993,0.016098474127453476,-0.06467275293506992,-0.05677344541427452
1,1,23,106,-0.05993816348656584,-0.04254098167238435,-0.04099024755380318,-0.044998102018163226,-0.028784640343525503,-0.0577589370934332,0.028463894819870265,0.01710038286064728,-0.07366773540144016,-0.029231256728794924
1,1,24,107,-0.06097763915040975,-0.043047053253241103,-0.04139872297286179,-0.04532586663032269,-0.02865120867371587,-0.054784039164492926,0.020592738718624545,0.015727884571957625,-0.06433524610290771,-0.06312229440173578
1,1,24,108,-0.05855726127344244,-0.04074708597581348,-0.04051108514556231,-0.044749723930606715,-0.027700352818471486,-0.05692397835700088,0.022929336206958327,0.016584975312274028,-0.06562356351539027,-0.06263827938983325
1,1,24,109,-0.05764686299640224,-0.03882805007919891,-0.038268424811147034,-0.0449259369079108,-0.026469422735089378,-0.05131324607975588,0.022771430872041823,0.01587893230845603,-0.0598781881952426,-0.058303517296848587
1,1,24,110,-0.06314579536608526,-0.04450812517519314,-0.04399653900452645,-0.05157749454571368,-0.03361886634793149,-0.0656411929758141,0.1721166395035942,-0.1441875429350464,0.06786822824696376,-0.04586655326520947
1,1,24,111,-0.06329623948682084,-0.045039004656458805,-0.041681272883149385,-0.04843421458336391,-0.030591445315456,-0.06006090588461935,0.01636665836375539,0.01674597902418248,-0.061317638632732895,-0.06657932083048873
1,1,24,112,-0.06365096779672243,-0.04586463024546955,-0.04343340256296879,-0.04519473554724029,-0.029604072995254176,-0.05967752926623567,0.020243777900908547,0.01670240985092135,-0.0697195533761077,-0.06961893536972008
