season,episode,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
2,15,4.258943781945979e-05,4.25894378194598e-05,4.25894378194598e-05,4.258943781945979e-05,4.25894378194598e-05,4.25894378194598e-05,0.12813953824208152,4.258943781945979e-05,4.258943781945979e-05,4.258943781945979e-05,0.11840450058512539,4.25894378194598e-05,4.258943781945979e-05,4.258943781945979e-05,4.25894378194598e-05,4.25894378194598e-05,4.25894378194598e-05,4.25894378194598e-05,4.25894378194598e-05,4.25894378194598e-05,4.25894378194598e-05,4.25894378194598e-05,4.258943781945979e-05,4.258943781945979e-05,4.25894378194598e-05,4.258943781945979e-05,4.258943781945979e-05,4.25894378194598e-05,4.258943781945979e-05,4.25894378194598e-05,4.258943781945979e-05,4.25894378194598e-05,0.751880151973473,4.25894378194598e-05,4.25894378194598e-05,4.258943781945979e-05,4.258943781945979e-05,4.258943781945979e-05,4.258943781945979e-05,4.258943781945979e-05
2,16,5.219206680589136e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589136e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,5.219206680589137e-05,0.06765813315553004,5.219206680589137e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589136e-05,0.9303585683058461,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589137e-05,5.219206680589136e-05,5.219206680589136e-05,5.219206680589137e-05
2,17,4.440497335704589e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704588e-05,4.440497335704589e-05,4.440497335704589e-05,0.1176491434024499,4.440497335704588e-05,4.440497335704588e-05,4.440497335704588e-05,4.440497335704588e-05,0.031730200682490314,4.440497335704588e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704588e-05,4.440497335704589e-05,4.440497335704589e-05,4.440497335704588e-05,4.440497335704588e-05,4.440497335704589e-05,4.440497335704588e-05,4.440497335704588e-05,4.440497335704589e-05,4.440497335704588e-05,0.012964165665668366,4.440497335704588e-05,4.440497335704589e-05,0.5110535911331572,4.440497335704589e-05,4.440497335704589e-05,4.440497335704588e-05,4.440497335704588e-05,4.440497335704588e-05,4.440497335704588e-05,0.3250487250487375
2,18,4.562043795622202e-05,4.562043795622203e-05,4.562043795622203e-05,4.562043795622203e-05,4.562043795622202e-05,0.9627616881190745,4.562043795622203e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622203e-05,4.562043795622203e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622203e-05,4.562043795622203e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622203e-05,4.562043795622202e-05,4.562043795622203e-05,4.562043795622202e-05,4.562043795622202e-05,0.03550473523858919,4.562043795622202e-05,4.562043795622203e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05,4.562043795622202e-05
2,19,4.3630017452016084e-05,4.3630017452016084e-05,4.363001745201609e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,0.9956944262827974,4.363001745201609e-05,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05,0.002647633054025841,4.3630017452016084e-05,4.3630017452016084e-05,4.3630017452016084e-05
2,20,4.201680672271432e-05,4.2016806722714325e-05,4.2016806722714325e-05,4.2016806722714325e-05,4.201680672271432e-05,4.2016806722714325e-05,4.2016806722714325e-05,4.201680672271432e-05,4.201680672271432e-05,4.201680672271432e-05,4.201680672271432e-05,4.2016806722714325e-05,4.201680672271432e-05,4.201680672271432e-05,4.2016806722714325e-05,0.8030818211319403,4.2016806722714325e-05,4.2016806722714325e-05,4.201680672271432e-05,4.2016806722714325e-05,4.2016806722714325e-05,4.2016806722714325e-05,4.201680672271432e-05,4.201680672271432e-05,0.19532154021259673,4.201680672271432e-05,4.201680672271432e-05,4.2016806722714325e-05,4.201680672271432e-05,4.2016806722714325e-05,4.201680672271432e-05,4.2016806722714325e-05,4.2016806722714325e-05,4.201680672271432e-05,4.2016806722714325e-05,4.201680672271432e-05,4.201680672271432e-05,4.201680672271432e-05,4.2016806722714325e-05,4.201680672271432e-05
2,21,3.92464678179269e-05,3.92464678179269e-05,3.92464678179269e-05,3.924646781792689e-05,3.924646781792689e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.924646781792689e-05,3.924646781792689e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.924646781792689e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.92464678179269e-05,3.92464678179269e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.924646781792689e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.924646781792689e-05,0.9984693877551009,3.924646781792689e-05,3.924646781792689e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05,3.92464678179269e-05,3.924646781792689e-05
2,22,4.2444821731769024e-05,4.244482173176903e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.244482173176903e-05,4.244482173176903e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.244482173176903e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.244482173176903e-05,4.244482173176903e-05,4.244482173176903e-05,4.244482173176903e-05,4.244482173176903e-05,4.244482173176903e-05,4.244482173176903e-05,4.2444821731769024e-05,4.2444821731769024e-05,0.9983446519524609,4.2444821731769024e-05,4.2444821731769024e-05,4.244482173176903e-05,4.244482173176903e-05,4.244482173176903e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769756e-05,4.2444821731769024e-05,4.244482173176903e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05,4.2444821731769024e-05
3,1,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,0.9972379603399422,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507415e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05,7.082152974507409e-05
3,2,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301735e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301735e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301735e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301735e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,0.9981672932330823,4.699248120301735e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05,4.699248120301734e-05
