term_id,term_str,n
1650,flowers,30
1651,checks,30
1652,court,30
1653,miles,30
1654,burn,30
1655,trick,30
1656,bedroom,30
1657,station,30
1658,handsome,30
1659,passed,30
1660,offensive,30
1661,promised,30
1662,reaches,30
1663,shop,30
1664,further,30
1665,basketball,30
1666,pressure,30
1667,katy,30
1668,success,30
1669,nard,30
1670,cousin,30
1671,plenty,30
1672,scary,30
1673,suggestion,30
1674,focus,30
1675,dirty,30
1676,doo,30
1677,microphone,30
1678,leans,30
1679,changes,30
1680,neither,30
1681,signed,30
1682,crush,30
1683,lesson,30
1684,baseball,29
1685,hates,29
1686,involved,29
1687,cross,29
1688,knife,29
1689,dreams,29
1690,reach,29
1691,carpet,29
1692,jesus,29
1693,marry,29
1694,circle,29
1695,gimme,29
1696,threw,29
1697,final,29
1698,heh,29
1699,certainly,29
1700,male,29
1701,butter,29
1702,genius,29
1703,admit,29
1704,upon,29
1705,official,29
1706,beans,29
1707,ate,29
1708,paying,29
1709,painting,29
1710,continue,29
1711,missing,29
1712,often,29
1713,checked,29
1714,dying,29
1715,silence,29
1716,wrap,29
1717,fifteen,29
1718,master,29
1719,dirt,29
1720,slowly,29
1721,princess,29
1722,saved,29
1723,directly,29
1724,exits,29
1725,remind,29
1726,ringing,29
1727,salary,29
1728,emergency,29
1729,phones,29
1730,sun,29
1731,greatest,29
1732,cuts,29
1733,german,29
1734,printer,29
1735,specific,29
1736,charity,28
1737,swear,28
1738,screams,28
1739,obvious,28
1740,golf,28
1741,faces,28
1742,crime,28
1743,dumb,28
1744,bell,28
1745,creative,28
1746,dot,28
1747,humor,28
1748,italian,28
1749,realized,28
1750,stomach,28
1751,goodness,28
1752,draw,28
1753,whenever,28
1754,spirit,28
1755,technically,28
1756,vending,28
1757,purse,28
1758,film,28
1759,yo,28
1760,seminar,28
1761,papers,28
1762,midnight,28
1763,attack,28
1764,embarrassed,28
1765,impression,28
1766,prize,28
1767,ceo,28
1768,rabies,28
1769,removes,28
1770,apart,28
1771,exercise,28
1772,sixty,28
1773,discount,28
1774,stairs,27
1775,gentleman,27
1776,barely,27
1777,address,27
1778,wimowheh,27
1779,helpful,27
1780,stress,27
1781,jokes,27
1782,agreement,27
1783,cruise,27
1784,scores,27
1785,accountant,27
1786,paint,27
1787,ceiling,27
1788,shame,27
1789,bother,27
1790,due,27
1791,wide,27
1792,wild,27
1793,pushing,27
1794,pencil,27
1795,balls,27
1796,stage,27
1797,english,27
1798,add,27
1799,expensive,27
1800,eats,27
1801,locked,27
1802,hall,27
1803,hook,27
1804,harder,27
1805,levinson,27
1806,farms,27
1807,law,27
1808,kicks,27
1809,wash,27
1810,extremely,27
1811,female,27
1812,screaming,27
1813,normally,27
1814,attractive,27
1815,doin,27
1816,contact,27
1817,appropriate,27
1818,clip,27
1819,pretends,27
1820,train,27
1821,french,27
1822,screwed,27
1823,dark,27
1824,cow,27
1825,ahhh,27
1826,besides,27
1827,comedy,26
1828,killing,26
1829,messages,26
1830,bags,26
1831,animals,26
1832,duty,26
1833,meaning,26
1834,image,26
1835,became,26
1836,saturday,26
1837,unfortunately,26
1838,sheriff,26
1839,mama,26
1840,bottom,26
1841,steps,26
1842,rid,26
1843,killer,26
1844,gifts,26
1845,bringing,26
1846,closer,26
1847,specifically,26
1848,drug,26
1849,stories,26
1850,item,26
1851,guests,26
1852,pill,26
1853,search,26
1854,issue,26
1855,mini,26
1856,driver,26
1857,loser,26
1858,interrupting,26
