term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
10carat,-1.1533278510895269e-06,-8.649787578860802e-07,-9.036394811140813e-07,-1.101759486609494e-06,-6.816732521747186e-07,-1.3319641528927006e-06,7.488298793490207e-07,4.78776781536377e-07,-1.8785676054201493e-06,-1.711860765805548e-06
10th,-2.418475298153398e-06,-1.8247957314448329e-06,-1.9449903454315845e-06,-2.3616255560944394e-06,-1.4665424169942996e-06,-2.875364213221905e-06,9.881671886012792e-07,7.885826278572763e-07,-3.4766855744557673e-06,-3.604292016131074e-06
11,-2.479168641286184e-05,-1.9122392974591745e-05,3.7054518341590333e-06,-2.3001152842794037e-05,-1.5109458310599914e-05,-1.0095692164475149e-05,1.2222433756191644e-05,8.551068110107244e-06,-3.359924719425223e-05,-3.276316546931649e-05
1100th,-4.077461683706898e-06,-3.062864888046077e-06,-3.1503492530134864e-06,-3.953167916543543e-06,-2.4517027926318033e-06,-4.1858265909811495e-06,2.848628423205875e-06,1.9845573645338484e-06,-6.3830827736378785e-06,-5.720431858407764e-06
1138,-2.859249099856852e-06,-2.1275102567527915e-06,-2.290853741239291e-06,-2.6929341141066753e-06,-1.7255644888633658e-06,-3.291899069136446e-06,1.500556335167491e-06,1.1155584952371523e-06,-4.5479406748980456e-06,-4.527091100666887e-06
115,-2.963119938994243e-07,-2.2686807846702e-07,-2.429051293065488e-07,-2.9532978974506316e-07,-1.8531650817808625e-07,-3.686145022398167e-07,3.6515075921492716e-07,-1.0182285995626457e-07,-2.970089506790062e-07,-4.477567637673775e-07
117,-6.900795229183719e-06,-4.968816629264519e-06,-5.048760537525037e-06,-6.3809458643140854e-06,-3.4778928992796674e-06,-7.139922556831761e-06,4.238687201377848e-06,2.570237726002821e-06,-9.160511776423254e-06,-8.594810090159088e-06
11am,-1.5727095318883075e-06,-1.2729094405616837e-06,-1.3166195232245542e-06,-1.4903095778583504e-06,-1.024466319122637e-06,-2.0818780723278763e-06,1.5458102214734275e-06,6.872544633945241e-07,-3.4345772996102326e-06,5.5705866654390035e-06
11th,-8.148478441245866e-06,-6.020415794455001e-06,-6.460229790670016e-06,-8.061112406818607e-06,-4.857057033576324e-06,-9.39740504079804e-06,3.9096732311573965e-06,3.0346503528696676e-06,-1.2281145789474568e-05,-1.2487366556375887e-05
12,-2.9948548928629123e-05,-2.1018185377318352e-05,-2.276897013941404e-05,3.982166998150717e-06,-8.49956541400324e-06,-6.37942733709809e-06,-2.7780083562517083e-05,-1.1587086514367846e-06,-6.526744040406099e-06,-3.343828084267588e-05
120,-7.210085635786719e-06,-5.314491267293593e-06,-5.334508356844776e-06,-6.392449504836362e-06,-3.847786433413486e-06,-7.2860220477272695e-06,5.212815397753536e-06,2.902615819252492e-06,-1.0375162581877882e-05,-7.830336506080904e-06
1200,-1.0987507055907358e-06,-4.4369106598431625e-06,-6.236913838788894e-06,1.2294091306502362e-05,2.941547828625883e-06,-1.9458392984948516e-06,2.218820350816594e-06,1.605137381208069e-06,-6.638919731050378e-06,-7.381060795678259e-06
12000,-9.057294088926183e-06,-7.20908755991649e-06,-6.415494462226269e-06,-8.459867014707771e-06,-5.298738136094136e-06,-9.60031600389785e-06,7.946918976148847e-06,3.224378779003588e-06,-1.37854200742304e-05,-8.668572732992736e-06
1220,-5.928181808745465e-07,-4.4477266218687913e-07,-4.7276241326403057e-07,-5.681413576989504e-07,-3.485949033675479e-07,-6.940072655884043e-07,3.8700081346272007e-07,2.3757225475925778e-07,-9.66546658072872e-07,-9.351661725123386e-07
123,-7.129388751901923e-06,-6.730432236250647e-06,-3.3924269433523893e-06,-6.739751094171011e-06,-5.587710423894202e-06,-1.1019262360374996e-05,1.0176400497833589e-05,2.8656270172730358e-06,-2.1972369442942217e-05,0.00012305784956557803
1234,-4.5011941162267784e-07,-3.418493684662233e-07,-3.5953277870198116e-07,-4.3313588521150966e-07,-2.7760514434813893e-07,-5.102496644664905e-07,2.449692839926375e-07,1.8316619535335494e-07,-7.043936298144941e-07,-6.862468023071285e-07
125,-2.7966361778035673e-05,-2.0202475650565983e-05,-2.0609285552309495e-05,-2.616809019349205e-05,-1.4244621362057437e-05,-2.924842479531093e-05,1.7480653340172767e-05,1.0596469859567664e-05,-3.776045787471268e-05,-3.560526841806595e-05
126,-7.836492652380184e-07,-6.181253731152318e-07,-6.572078043535259e-07,-8.50749264366918e-07,-5.555288525586667e-07,-1.0636859548644915e-06,-1.529942333087328e-06,-1.9453202990267402e-07,2.838180770570811e-07,-8.207162233096123e-07
127,-4.364605169521753e-06,-3.3693540451699114e-06,-3.543912962676025e-06,-4.3464837862020115e-06,-2.756044177516127e-06,-5.428077439882644e-06,9.080492433284229e-07,1.0492276342248501e-06,-5.993309260408865e-06,-7.2333597624431435e-06
128,-1.3911856317733591e-05,-1.0046444266007315e-05,-1.0123471073297477e-05,-1.296141599597545e-05,-7.0778834984816734e-06,-1.4351404358399222e-05,8.611524791990352e-06,5.224816489324031e-06,-1.86562732195713e-05,-1.7548241939479412e-05
128bit,-1.202613740179287e-06,-9.138520193385375e-07,-9.162078148311273e-07,-1.147427855498028e-06,-7.12660312615946e-07,-1.3798828736291542e-06,9.089487647705132e-07,3.908509052657138e-07,-1.941497856519144e-06,-1.5723663007781263e-06
129,-1.1707122459031107e-06,-9.087476860686947e-07,-9.713139777879515e-07,-1.1280378445454302e-06,-7.294064028620531e-07,-1.425201601755461e-06,1.1058292734908171e-06,5.283592337694694e-07,-2.3510623124669298e-06,3.138715089166286e-06
12pack,2.6427855637426108e-05,-5.83319953892974e-08,-9.226473475690537e-07,-1.2955827177305966e-06,-8.566534466264839e-07,-1.5871460028727624e-06,9.149343574551597e-07,7.085973082130618e-07,-2.4631173367384704e-06,-3.580044748658811e-06
12th,-9.935751245848096e-07,-7.463653086716785e-07,-7.956818547580926e-07,-9.791143514605847e-07,-6.066688316098422e-07,-1.132283508085552e-06,6.811727035427502e-07,5.187915465040211e-07,-1.6064165057029207e-06,-1.6653677040038814e-06
12yearold,-3.1113001089724325e-06,-2.3980292507261103e-06,-2.5568391560391075e-06,-3.02399496619489e-06,-2.009539139429808e-06,-3.9263920301038245e-06,8.095348410808866e-07,1.1109616985010043e-06,-4.827431902539829e-06,-5.749939910011851e-06
13,-1.913846336602316e-05,-1.408860535019416e-05,-1.4275915557885048e-05,-1.7620143126572776e-05,-1.0161676019828732e-05,-2.0511548252093586e-05,1.4066499009370016e-05,6.021792315769824e-06,-2.5783173696364794e-05,-2.5048293177410644e-05
134,-2.8131307021185804e-06,-2.1061296737693994e-06,-2.246694423962008e-06,-2.645947363382857e-06,-1.7397427620520478e-06,-2.9111869415504623e-06,1.713156554010352e-06,1.0535440544762802e-06,-4.402482751274875e-06,-3.966526162046528e-06
13th,-8.121553451443333e-06,-5.7666093469604284e-06,-6.344693042454029e-06,-7.632271276123653e-06,-4.658525904202114e-06,-8.938573037834348e-06,5.340535069565399e-06,3.170751782675995e-06,-1.2253625986161725e-05,-1.0532884501102953e-05
13yearold,-8.129781856264487e-07,-6.274373523546206e-07,-6.7028887362257e-07,-8.034814381001951e-07,-5.00299486094087e-07,-1.0140968411762426e-06,4.284353345274209e-07,2.991911895850069e-07,-1.32935866136068e-06,-1.1695583214233063e-06
14,-1.871659496684468e-05,-1.4191831500809533e-05,5.687332435957107e-06,-1.2867582191095742e-05,-9.679869854520822e-06,-9.774184785436213e-06,9.637397178583987e-06,6.146984930511534e-06,-2.570421780645066e-05,-2.7142566122257524e-05
140,-2.7966361792706846e-05,-2.0202475681255504e-05,-2.0609285401107816e-05,-2.6168090090251554e-05,-1.4244621133333074e-05,-2.9248424437270173e-05,1.7480651609286536e-05,1.0596479273165447e-05,-3.776046042127323e-05,-3.560528978285723e-05
142,-5.937782001228036e-07,-4.4425032934661086e-07,-4.702293628529405e-07,-5.705924269538687e-07,-3.414125313976277e-07,-6.786781031056582e-07,3.597267722328244e-07,2.3051734302598504e-07,-9.121995919436148e-07,-8.702407086402593e-07
1434967,-9.753501465711683e-06,-7.253068595700849e-06,-7.218329211909449e-06,-8.333770731674117e-06,-5.231394451707925e-06,-9.754121152115999e-06,7.3639497476012046e-06,4.000484477714267e-06,-1.4385799907796207e-05,-1.0423007236923473e-05
147,-5.927827236669541e-06,-4.362960963747621e-06,-4.275134177199301e-06,-5.102803064900578e-06,-3.2676226344486242e-06,-5.748971660696447e-06,4.702826638049757e-06,2.4315626269522004e-06,-8.814233683168265e-06,-5.961895681432788e-06
1490,-4.9986303500297165e-06,-3.83412489028658e-06,-4.143375653397919e-06,-4.753634786442454e-06,-3.0515611296053334e-06,-6.284498517025094e-06,2.2306618812847e-06,1.7375259448388747e-06,-8.013678405278852e-06,-8.572266662346317e-06
15,-3.4245675745269455e-05,-5.603353400991721e-05,-5.5659294485211936e-05,-6.78601006000691e-05,-4.494219194705314e-05,-8.787525242461258e-05,4.747529961299636e-05,-1.098072282540546e-05,-6.934910577524517e-05,-0.00011342989694408762
150,-2.3734966156600686e-06,-1.7855076518004032e-06,-1.8783680518544018e-06,-2.2945183984908317e-06,-1.4062514397337877e-06,-2.7672369548908774e-06,1.2771189327488759e-06,8.442913165588953e-07,-3.6061515479458724e-06,-3.644553470166834e-06
1500,-1.3382360415163089e-06,-1.0393951177318785e-06,-1.1241565506335172e-06,-1.451487385990638e-06,-9.327755122106733e-07,-1.855011415297122e-06,-2.3025590945389876e-06,-2.447756694754198e-07,1.0266445141828967e-07,-1.7670946441322316e-06
150000,-5.271731509355395e-07,-3.845608615485344e-07,-4.1343621096756234e-07,-4.944902976624583e-07,-2.992643469720933e-07,-6.022902786142198e-07,3.472839144924898e-07,2.2330248029905405e-07,-8.260213433651014e-07,-7.306264202540676e-07
1520,-9.53010069794161e-07,-7.27347430254221e-07,-7.93510865419557e-07,-9.977513668552561e-07,-6.173857856070105e-07,-1.2328795863049496e-06,-1.182221632123197e-06,-6.085395930881794e-08,-1.559739677477209e-07,-1.1718729585611647e-06
156,-1.8799557340185415e-06,-1.4329203440007365e-06,-1.49743236771754e-06,-1.7488773348564374e-06,-1.1103296320948614e-06,-2.126696100793797e-06,1.0846666606190809e-06,7.288687278251131e-07,-2.8851756040133145e-06,-2.5321652228193057e-06
15scooper,-1.3210833598399446e-06,-9.96318744076515e-07,-1.1180950374337518e-06,-1.3857101973896468e-06,-8.797564172530248e-07,-1.8306247335202933e-06,-2.2788401901703544e-06,-3.6917190109767923e-07,2.5260390624512393e-07,-1.5017140331285702e-06
16,-6.486102958947964e-06,-5.802281693825123e-06,-6.0530523582772405e-06,-7.62396797657179e-06,-4.55484098393544e-06,-8.852365884122585e-06,4.505778648520862e-06,3.1292291100600605e-06,-1.1755731253885578e-05,-1.1990990565734107e-05
160,-5.320125644934713e-05,-3.853858330426717e-05,-3.948899736706746e-05,-5.029308504723605e-05,-2.7387183598160377e-05,-5.6324576831254635e-05,3.390802532021823e-05,2.0558312394355605e-05,-7.333245034701796e-05,-6.961348979364036e-05
1600,-6.520505188256794e-07,-4.977201385114583e-07,-5.218286213044139e-07,-6.351664754882961e-07,-4.0104096146334247e-07,-7.542172406760478e-07,1.4994802343723674e-06,-9.382399364221188e-07,4.808843033129407e-08,-7.71193670568566e-07
1600acre,-1.5623474348237005e-06,-1.1730164723348e-06,-1.2452681669292842e-06,-1.5112477511430727e-06,-9.33080002977224e-07,-1.8336168531063295e-06,8.953779587113494e-07,5.786306864928263e-07,-2.4562264678821567e-06,-2.095956840112678e-06
165,-4.0374652444743074e-07,-3.11054564750375e-07,-3.367582348184268e-07,-4.035073219730743e-07,-2.575230525127935e-07,-5.234028170407189e-07,-7.984369676536037e-08,7.701005758481532e-08,-4.391286404254708e-07,-5.253989694002958e-07
166,-5.4006464372941705e-06,-4.054791980156297e-06,-4.2472039923474765e-06,-5.014662137787516e-06,-3.191199901094968e-06,-6.188494614802047e-06,3.7838717972169653e-06,2.162138352472188e-06,-8.773977932158857e-06,-8.108020342883212e-06
16bond,-3.1822325154221355e-06,-2.4697257021875264e-06,-2.5902889171833406e-06,-3.120385734263255e-06,-2.0425063337426327e-06,-3.431000206180731e-06,1.909130618831182e-06,1.3970565890397e-06,-5.060227331480861e-06,-5.138788074217255e-06
17,-1.820085773975811e-05,-1.3698822487264666e-05,-1.5148426862531455e-05,-6.083518649137153e-06,-6.209972375181728e-06,-1.7586458044123102e-05,1.0065708432486733e-05,6.627946698096658e-06,-2.5686995029079372e-05,-2.491374316973163e-05
1752,-2.0455851468273255e-06,-1.52880569401117e-06,-1.64904960819993e-06,-1.973518701860915e-06,-1.2103385515237584e-06,-2.437201414458322e-06,1.31335237196225e-06,7.822985584179421e-07,-3.363412880962075e-06,-2.4407171027367257e-06
17th,-1.3873930302944713e-05,-9.994757574744825e-06,-1.0192980855194351e-05,-1.2870071937200927e-05,-7.019382953361185e-06,-1.441411635238772e-05,8.585303047631585e-06,5.201728901151842e-06,-1.8557786890568014e-05,-1.7415434495411802e-05
18,-1.938716702737998e-05,-1.51606924374334e-05,-1.687337181404936e-05,-6.354411816603689e-06,-7.485462297426192e-06,-1.9341203770305754e-05,1.4769428506002605e-05,8.046422043892566e-06,-3.30334069321522e-05,1.5629593630257962e-05
180,-8.908567219199909e-06,-4.338064354302439e-06,-5.699016194472153e-06,-4.923171593040909e-06,-3.7292594441390395e-06,-8.210569447680908e-06,6.015763483288235e-06,3.34145016615879e-06,-1.256050049623223e-05,-8.668412761838745e-06
