season,episode,scene,line,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,1,37,189,friend,1,0.10194387044279501,NN,0,0,0,0,1,0,0,1,1
1,1,37,189,kind,1,0.09101276490143599,NN,0,0,0,0,1,0,0,1,1
1,1,37,197,stealing,1,2.068508918862551,VBG,0,0,1,1,0,0,0,0,-1
1,1,37,197,theft,1,2.116760021728382,NN,1,0,1,1,0,1,0,0,-1
1,1,37,198,stealing,1,1.5513816891469134,VBG,0,0,1,1,0,0,0,0,-1
1,1,37,198,stolen,1,1.4728777863202833,VBN,1,0,0,0,0,0,0,0,-1
1,1,37,201,margin,1,0.4289320305895299,NN,0,0,0,0,0,1,0,0,-1
1,1,37,201,steal,1,0.28509613613311474,VB,1,0,0,1,0,1,0,0,-1
1,1,37,204,stolen,1,0.5355919222982849,VBN,1,0,0,0,0,0,0,0,-1
1,1,37,205,clean,1,0.28711649044218934,JJ,0,0,0,0,1,0,0,1,1
1,1,37,205,gross,1,0.30620745626986196,JJ,0,0,1,0,0,0,0,0,-1
1,1,37,205,misconduct,1,0.4201624303262191,NN,0,0,1,0,0,0,0,0,-1
1,1,37,205,pay,1,0.25832418501653726,VB,0,1,0,0,1,0,0,1,1
1,1,37,206,crying,1,0.14259171989659558,VBG,0,0,0,0,0,1,0,0,-1
1,1,37,206,god,1,0.0936967364337786,NNP,0,1,0,1,1,0,0,1,1
1,1,37,206,kind,1,0.10756054033806071,NN,0,0,0,0,1,0,0,1,1
1,1,37,206,laughing,1,0.1251993154251969,VBG,0,0,0,0,1,0,0,0,1
1,1,37,206,surprise,1,0.1411499436384086,NN,0,0,0,1,1,0,1,0,1
1,1,37,207,jerk,1,2.7657825524387505,NN,1,0,0,0,0,0,1,0,0
1,1,38,209,cash,1,0.09780763088241887,NN,1,1,0,1,1,0,0,1,1
1,1,38,209,child,1,0.0905549094661707,NN,0,1,0,0,1,0,0,0,1
1,1,38,209,important,1,0.07594521187655529,JJ,0,0,0,0,0,0,0,1,1
1,1,38,209,losing,1,0.09854313866851044,VBG,1,0,0,0,0,1,0,0,-1
1,1,38,209,young,1,0.0905549094661707,JJ,0,1,0,0,1,0,1,0,1
1,1,39,213,good,1,0.44680320220765746,JJ,0,1,0,0,1,0,1,1,1
1,1,39,216,good,2,4.914835224284232,JJ,0,1,0,0,1,0,1,1,1
1,1,39,229,enjoy,1,0.5137874039491809,VB,0,1,0,0,1,0,0,1,1
1,1,40,231,pretending,1,0.5026304254064584,VBG,1,0,0,0,0,0,0,0,-1
1,1,40,232,chaos,2,0.39629957519464587,NN,1,0,0,1,0,1,0,0,-1
1,1,40,232,important,1,0.11825754420777894,JJ,0,0,0,0,0,0,0,1,1
1,1,43,241,good,1,0.819139204047372,JJ,0,1,0,0,1,0,1,1,1
1,1,43,243,watch,1,0.10583618107929117,VB,0,1,0,1,0,0,0,0,0
1,1,44,244,bliss,1,0.13605259648658524,JJ,0,0,0,0,1,0,0,0,1
1,1,44,244,god,1,0.05889509147266084,NNP,0,1,0,1,1,0,0,1,1
1,1,44,244,guidance,1,0.1320998583982153,NN,0,0,0,0,0,0,0,1,1
1,1,44,244,happy,1,0.07495700125535816,JJ,0,1,0,0,1,0,0,1,1
1,1,44,244,lie,1,0.09795735839134714,VB,1,0,1,0,0,1,0,0,-1
1,1,44,244,monster,2,0.19479293222929298,NN,0,0,0,1,0,0,0,0,-1
1,1,45,245,calls,1,0.09289453621330439,NNS,0,1,0,0,0,0,0,1,-1
1,1,45,245,crazy,2,0.1580660277044938,JJ,1,0,0,1,0,1,0,0,-1
1,1,45,245,fool,1,0.11413928011358275,NN,0,0,1,0,0,0,0,0,-1
1,1,45,245,money,1,0.07478584606627647,NN,1,1,0,0,1,0,1,1,1
1,1,45,245,patient,1,0.12774540991434086,NN,0,1,0,0,0,0,0,0,1
1,1,46,247,immediately,1,0.4492925954400944,RB,0,1,0,0,0,0,0,0,0
1,1,46,249,anxiety,1,0.5679621830328262,NN,1,1,0,1,0,1,0,0,-1
1,1,46,250,good,1,0.18903212401093203,JJ,0,1,0,0,1,0,1,1,1
1,1,46,250,wan,1,0.2928114341969213,VBP,0,0,0,1,0,1,0,0,-1
1,1,46,251,worried,1,0.5445749039871364,JJ,0,0,0,0,0,1,0,0,-1
1,1,46,252,art,1,0.1660599089367348,NN,0,1,0,0,1,1,1,0,1
1,1,46,252,friend,1,0.1325270315756335,NN,0,0,0,0,1,0,0,1,1
1,1,46,252,tree,2,0.34386320933783227,NN,1,1,1,0,1,0,1,1,1
1,1,47,254,happy,1,0.2186245869947946,JJ,0,1,0,0,1,0,0,1,1
1,1,47,254,hurt,2,0.531483576868639,VB,1,0,0,1,0,1,0,0,-1
1,1,48,257,crazy,1,0.5479622293755785,JJ,1,0,0,1,0,1,0,0,-1
1,1,48,257,john,1,0.7446696942447675,NNP,0,0,1,0,0,0,0,0,-1
1,1,48,259,cancer,2,0.4134393786162199,NN,1,0,1,1,0,1,0,0,-1
