term_str,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
robbery,9503,2,2.5483388016436784e-06,18.58201147267282,7,NN,NN,1,1,0,robberi,2,14.870485131812606,29.74097026362521,1,0,1,1,0,1,0,1,0,0,-1
rebellion,9505,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,rebellion,2,14.870485131812606,29.74097026362521,1,0,1,1,0,0,0,0,0,0,0
ministry,9520,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,ministri,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,1,1
insurrection,9522,2,2.5483388016436784e-06,18.58201147267282,12,NN,NN,1,1,0,insurrect,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
companion,9532,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,companion,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,1,1
wrongly,9541,2,2.5483388016436784e-06,18.58201147267282,7,RB,RB,1,1,0,wrongli,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,0,1,0,0,-1
mistaken,9580,2,2.5483388016436784e-06,18.58201147267282,8,VB,VBN,1,1,0,mistaken,2,14.870485131812606,29.74097026362521,0,0,0,1,0,1,0,0,0,0,-1
established,9608,2,2.5483388016436784e-06,18.58201147267282,11,JJ,JJ,2,2,0,establish,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,0,1
tactics,9610,2,2.5483388016436784e-06,18.58201147267282,7,NN,NNS,1,1,0,tactic,2,14.870485131812606,29.74097026362521,0,0,0,1,0,0,0,0,0,1,0
censor,9616,2,2.5483388016436784e-06,18.58201147267282,6,JJ,JJ,1,1,0,censor,1,15.870485131812606,15.870485131812606,1,0,1,1,0,1,0,0,0,1,-1
violently,9628,2,2.5483388016436784e-06,18.58201147267282,9,RB,RB,1,1,0,violent,2,14.870485131812606,29.74097026362521,1,0,1,1,0,1,0,1,0,0,-1
poke,9630,2,2.5483388016436784e-06,18.58201147267282,4,VB,VB,1,1,0,poke,2,14.870485131812606,29.74097026362521,0,1,0,0,0,1,0,0,0,0,-1
pungent,9640,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJ,1,1,0,pungent,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
grizzly,9649,2,2.5483388016436784e-06,18.58201147267282,7,NN,NN,1,2,0,grizzli,2,14.870485131812606,29.74097026362521,0,0,0,1,0,1,0,0,0,0,-1
buffet,9657,2,2.5483388016436784e-06,18.58201147267282,6,NN,NN,1,1,0,buffet,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
havoc,9661,2,2.5483388016436784e-06,18.58201147267282,5,NN,NN,1,1,0,havoc,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,0,0,0,0,-1
cuddle,9669,2,2.5483388016436784e-06,18.58201147267282,6,VB,VB,1,1,0,cuddl,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,1,1
clerical,9675,2,2.5483388016436784e-06,18.58201147267282,8,JJ,JJ,1,1,0,cleric,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
unemployed,9677,2,2.5483388016436784e-06,18.58201147267282,10,JJ,JJ,1,1,0,unemploy,2,14.870485131812606,29.74097026362521,0,0,0,1,0,1,0,1,0,0,-1
festive,9686,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJ,1,1,0,festiv,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,0,1
tolerate,9693,2,2.5483388016436784e-06,18.58201147267282,8,VB,VB,1,1,0,toler,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,1,0,0,-1
blatant,9710,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJ,1,1,0,blatant,2,14.870485131812606,29.74097026362521,1,0,1,0,0,1,0,0,0,0,-1
expertise,9724,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,expertis,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
enliven,9727,2,2.5483388016436784e-06,18.58201147267282,7,VB,VB,1,1,0,enliven,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,1,1,1
glory,9728,2,2.5483388016436784e-06,18.58201147267282,5,NN,NN,1,1,0,glori,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
ambition,9739,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,ambit,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
poisoning,9760,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,poison,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
delusion,9773,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,delus,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,0,1,0,0,-1
superstar,9774,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,superstar,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,1,1
betray,9781,2,2.5483388016436784e-06,18.58201147267282,6,VB,VB,1,1,0,betray,2,14.870485131812606,29.74097026362521,1,0,1,0,0,1,0,1,1,0,-1
credible,9798,2,2.5483388016436784e-06,18.58201147267282,8,JJ,JJ,1,1,0,credibl,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
armed,9820,2,2.5483388016436784e-06,18.58201147267282,5,VB,VBN,1,1,0,arm,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,1,0,0,0,0
slander,9847,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJR,2,2,0,slander,1,15.870485131812606,15.870485131812606,1,0,1,0,0,1,0,0,0,0,-1
soothing,9874,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,2,2,0,sooth,2,14.870485131812606,29.74097026362521,0,0,0,0,1,0,1,0,0,1,1
grumpy,9879,2,2.5483388016436784e-06,18.58201147267282,6,NN,NN,1,1,0,grumpi,2,14.870485131812606,29.74097026362521,1,0,1,0,0,1,0,1,0,0,-1
defended,9888,2,2.5483388016436784e-06,18.58201147267282,8,VB,VBD,1,2,0,defend,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
stinking,9897,2,2.5483388016436784e-06,18.58201147267282,8,VB,VBG,1,1,0,stink,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
humility,9906,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,humil,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
diversion,9920,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,divers,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,1,0,1
unhealthy,9922,2,2.5483388016436784e-06,18.58201147267282,9,JJ,JJ,1,1,0,unhealthi,2,14.870485131812606,29.74097026362521,0,0,1,1,0,1,0,1,0,0,-1
stripped,9933,2,2.5483388016436784e-06,18.58201147267282,8,VB,VBD,1,2,0,strip,2,14.870485131812606,29.74097026362521,1,1,1,1,0,1,0,1,0,0,-1
infant,9937,2,2.5483388016436784e-06,18.58201147267282,6,NN,NN,1,1,0,infant,2,14.870485131812606,29.74097026362521,0,1,0,1,1,0,1,0,1,0,1
